Title,Release Date,URL,Synopsis
A Woman Under the Influence,1974,https://itunes.apple.com/us/movie/a-woman-under-the-influence/id473895536?uo=4,"John Cassavetes’ devastating drama details the emotional breakdown of a suburban housewife and her family’s struggle to save her from herself. Starring Peter Falk and Gena Rowlands (in two of the most harrowing screen performances of the 1970s) as a married couple deeply in love yet unable to express that love in terms the other can understand, the film is an uncompromising portrait of domestic turmoil. The Criterion Collection is proud to present one of the benchmark films of American independent cinema—a heroic document from a true maverick director."
Under the Boardwalk,2022,https://itunes.apple.com/us/movie/under-the-boardwalk/id1711485091?uo=4,"From the director of Captain Underpants: The First Epic Movie comes a hilariously fun beach adventure for the whole family! When timid Jersey crab Armen (Michael Cera, Barbie) meets bold tourist sea crab Ramona (Keke Palmer, Lightyear), it causes shell-shocking tension in the community. But when the duo are swept away by a storm, they embark on an epic journey to find home. Their courage unites their families paving the way for great summers to come, Under the Boardwalk."
S.W.A.T.: Under Siege,2017,https://itunes.apple.com/us/movie/s-w-a-t-under-siege/id1237445955?uo=4,"When a D.E.A. and S.W.A.T. cartel takedown ends in a shootout, S.W.A.T. Agent Travis Hall seizes a mysterious prisoner taking him into custody. Before long, the S.W.A.T. compound is under siege by wave-after-wave of assault teams attempting to recover the prisoner known as “The Scorpion” for the tattoo blazed across his back. When Travis discovers that his prisoner is a Secret Ops double agent planted within the cartel, it’s up to him and his expert S.W.A.T. team to keep “The Scorpion” and his billion dollar secrets safe."
Under the Volcano (2021),2021,https://itunes.apple.com/us/movie/under-the-volcano-2021/id1571421761?uo=4,"On a remote Caribbean island in the 1980s, in the shadow of a volcano, the world’s biggest recording artists were drawn to one special place, to escape and to forge the music that defined an era. Built by Beatles’ producer Sir George Martin, AIR Studios Montserrat was the birthplace of mega-hits such as Money for Nothing and Every Breath You Take. For a decade, the studio formed the backdrop to monumental events in music history including the break-up of The Police, the reunion of The Rolling Stones, and the reinvigoration of Paul McCartney after the tragic murder of John Lennon. After a decade of hits, and at the peak of its popularity, the studio was destroyed when the island was hit by a series of devastating natural disasters. Through personal accounts and backed by a blistering soundtrack, Under the Volcano is the definitive account of George Martin’s Studio, a place that generated a perfect storm of talent, technology and isolation, ushering in music that would live on long after the last tape rolled."
Under the Electric Sky,2014,https://itunes.apple.com/us/movie/under-the-electric-sky/id893726757?uo=4,"Experience the life, love, community, and passion of festivalgoers on the road to the most electrifying show on earth, the Electric Daisy Carnival. This groundbreaking film goes behind-the-scenes of North America’s largest music festival and introduces you to the people inspired by its vision of peace, love, unity and respect. Meet founder Pasquale Rotella, who re-envisions this unique three-day festival every year, and just a few of the devoted fans who follow vastly different roads to get there. Featuring the pulsating live performance footage of Armin van Buuren, Avicii, Fatboy Slim, Hardwell, Tiësto and many more, it’s an unforgettable journey to the most electrifying show on earth."
Under the Shadow,2016,https://itunes.apple.com/us/movie/under-the-shadow/id1138963699?uo=4,"Living amongst the chaos of the Iran-Iraq war, Shideh is left to protect her young daughter, Dorsa. When a missile hits their apartment building but fails to explode, Shideh learns from a superstitious neighbor that the cursed missile might have brought in djinns - malevolent spirits that travel on the wind."
Under African Skies,2012,https://itunes.apple.com/us/movie/under-african-skies/id526675261?uo=4,"Under African Skies tells the story behind the incredible journey, history and evolution of Paul Simon’s Graceland, and explores the cultural and political climate of South Africa 25 years ago. The film follows Simon as he returns once again to South Africa, and remembers and reconnects with the people, places and music that inspired him many years ago. With the compelling perceptions of anti-apartheid activists and music legends such as Quincy Jones, Harry Belafonte, Sir Paul McCartney, and David Byrne, Under African Skies is both a buoyant chronicle of unparalleled artistic achievement and a profound rumination on the role of the artist in society."
Under Our Skin 2: Emergence,2014,https://itunes.apple.com/us/movie/under-our-skin-2-emergence/id976664891?uo=4,"The acclaimed documentary UNDER OUR SKIN (2009) brought unprecedented awareness to the shocking story of Lyme disease, an often-chronic condition many doctors claimed was “all in your head."" Since then the CDC has upped its estimate of annual cases by ten times, making Lyme disease more prevalent than HIV and breast cancer combined. This highly-anticipated sequel, UNDER OUR SKIN 2: EMERGENCE, investigates the deepening Lyme disease crisis and follows its casualties and controversies. As the Lyme epidemic explodes globally, scandalous medical collusions and conflicts of interest incriminate the very healthcare systems meant to protect us. Despite the obstacles that researchers, physicians and patients continue to face, promising new findings are emerging. And when we revisit the once gravely ill characters from UNDER OUR SKIN, we see that they have moved from horror to hope, arriving at better health and reclaiming their lives."
Under the Rainbow,2014,https://itunes.apple.com/us/movie/under-the-rainbow/id564461854?uo=4,"It was the largest gathering of little people ever, drawn from all over to appear in the movie of a classic children's story. They weren't in Kansas anymore. They were in Hollywood, home of wide-open lifestyles and nonstop parties. This colorful screwball comedy uses the premise of 150 little people playing The Wizard of Oz's Munchkins housed in one Culver City hotel and indulging in some high-energy partying to spin zany screen mayhem with touches of romance (between G-man Chevy Chase and casting maven Carrie Fisher) and cockeyed espionage (involving German agent Billy Barty and Japanese spy Mako). Co-stars Eve Arden, Adam Arkin, Joseph Maher and Pat McCormick deliver tall orders of laughter, while smashing into small-fry shenanigans at every turn. There's no place like Under the Rainbow."
Under Fire (1983),1983,https://itunes.apple.com/us/movie/under-fire-1983/id896139856?uo=4,"A political thriller about three journalists on the line in 1979 Managua, Nicaragua (during the Somoza regime), how their lives intertwine and how two of them risk their professionalism by becoming involved in the revolutionary conflict."
Paul F. Tompkins: Laboring Under Delusions,2012,https://itunes.apple.com/us/movie/paul-f-tompkins-laboring-under-delusions/id522029926?uo=4,"When it comes to odd jobs, Paul F. Tompkins has experienced them all, stand-up comedian included. In this extended and uncensored stand-up special, Paul (supported by his impressive mustache) takes us on a hilarious tour of his varied career. Relive his glory days as an employee at a Beta-only video store, a hot shop salesman catering to tourists looking for “king hats,” an actor with an improbable cameo in an epic film, and an anxious host on Best Week Ever."
Under Siege 2: Dark Territory,1995,https://itunes.apple.com/us/movie/under-siege-2-dark-territory/id1458068943?uo=4,"Casey Ryback is taking his niece, Sarah Ryback, on a vacation. They board a train traveling through the Rocky Mountains from Denver to Los Angeles. Travis Dane takes the train hostage and starts using the train as a control center in his effort to take control of a top-secret government outer space super-weapon."
Sex Down Under,2019,https://itunes.apple.com/us/movie/sex-down-under/id1482312130?uo=4,"Sex is a huge part of our lives, our very existence depends on it. Yet it’s treated and practiced differently in every society. Explore sexuality down under, from the extraordinary to the taboo, in this must see documentary."
Under the Autumn Moon,2019,https://itunes.apple.com/us/movie/under-the-autumn-moon/id1473082047?uo=4,"A Hallmark Channel original movie. When an ambitious executive (Lindy Booth) convinces her boss that a picturesque ranch would be perfect for their company retreats, he agrees to let her check it out. However, her plan hits a snag when the owner (Wes Brown), a charming cowboy, refuses to sell unless she can promise to preserve its history. He convinces her to stay and experience the magic of the ranch, but when her boss shows up with other plans in mind, will she have to make a choice between love or ambition?"
Christmas Under the Stars,2019,https://itunes.apple.com/us/movie/christmas-under-the-stars/id1533883777?uo=4,"A Hallmark Channel original movie. When Nick (Jesse Metcalfe) loses his finance job right before Christmas, he takes a job at a tree lot where he meets Julie (Autumn Reeser) and her son. As the Christmas spirit washes over him, and he begins falling for Julie, the once self-centered Nick discovers the joy of helping others."
Under the Yum Yum Tree,1963,https://itunes.apple.com/us/movie/under-the-yum-yum-tree/id606049744?uo=4,"A comedy about a couple in love (Carol Lynley & Dean Jones) who agree to determine their ""character compatibility"" by living together platonically. Virtue triumphs after a series of humorous incidents in which lecherous landlord (Jack Lemmon) hopes to seduce his new female tenant. Based on the Broadway play by Lawrence Roman, this film was a top-grosser at the box office."
Christina Aguilera: Back to Basics – Live and Down Under,2012,https://itunes.apple.com/us/movie/christina-aguilera-back-to-basics-live-and-down-under/id668723331?uo=4,No description available
HOPE in the HOLY LAND: Delving Beneath the Surface of the Israeli-Palestinian Conflict,2021,https://itunes.apple.com/us/movie/hope-in-the-holy-land-delving-beneath-the-surface/id1580635752?uo=4,"An American Christian with a deep love for Israel sets off on a journey across the Holy Land to confront his indifference toward the Palestinians and to search for the deeper truths behind one of the most perplexing and polarizing conflicts in the world. Along the way, he discovers the painful struggles of Jews, Muslims and Christians on both sides of the conflict. The result is an enlightening journey that exposes viewers to perspectives rarely seen in the media, and a challenge to a man’s heart to love his enemy."
Elizabeth II: The Monarchy Under Threat 1970-1989,2012,https://itunes.apple.com/us/movie/elizabeth-ii-the-monarchy-under-threat-1970-1989/id537839469?uo=4,"On her Diamond Jubilee, ITN explores the ups and downs of Queen Elizabeth II's reign."
Under the Fig Trees,2023,https://itunes.apple.com/us/movie/under-the-fig-trees/id1712542134?uo=4,"On a hot summer day, a crew of workers - men and women, young and old - arrive at dawn at a picturesque fig orchard in northwest Tunisia. We eavesdrop, through the sun-dappled leaves of the fig trees, on the young women stealing away precious moments from the foreman's watchful gaze. Meanwhile, the older women, tasked with the careful job of packing the tender fruit, watch and reminisce together as well. They joke, argue, debate, gossip, flirt, all the while painting an unhurried but riveting portrait of everyday life in the rural society, where class, gender, and circumstance often don't allow for such personal freedoms. Set over the course of a single day, and with a cast made up of an intergenerational ensemble of non-professional actors, ""Under the Fig Trees"" is ""an elegant, understated tapestry of complex interactions [and] a pleasurable and immersive experience"" (The Hollywood Reporter) that ultimately reveals the ways in which sisterhood itself becomes an act of resistance."
Bobbi Jo: Under the Influence,2021,https://itunes.apple.com/us/movie/bobbi-jo-under-the-influence/id1548159516?uo=4,"Bobbi Jo: Under the Influence is one of the most inspirational stories you will ever hear. For 25 years, Bobbi Jo Reed has rescued thousands of addicts. But before she could help others, Bobbi Jo needed to help herself. This true-life story takes an honest look into the world of alcoholism and addiction and provides keys to long term recovery in Kansas City's most dangerous neighborhood. After a middle class upbringing, Bobbi Jo turned to drinking and drugs at a young age. Soon, her life spiraled out of control. Addiction led to abuse, prostitution, and homelessness. When she hit rock bottom, Bobbi Jo had a spiritual awakening. With newfound strength, Bobbi Jo was lifted out of a personal hell. That strength gave her the courage to return to the streets to help others. Using the testimony of her dark past as a ""blueprint of hope"", Bobbi Jo Reed reflects on her transformation. How she was saved. Why she was chosen. And why more than 8,000 souls now call her, ""Mom""."
Under Capricorn,1949,https://itunes.apple.com/us/movie/under-capricorn/id1669815924?uo=4,"A young gentleman goes to Australia where he reunites with his now married childhood sweetheart, only to find out she has become an alcoholic and harbors dark secrets."
Under Still Waters,2010,https://itunes.apple.com/us/movie/under-still-waters/id397821944?uo=4,A young married couple encounters an obscure stranger who threatens their marriage and their lives.
Under the Blood-Red Sun,2015,https://itunes.apple.com/us/movie/under-the-blood-red-sun/id1052932220?uo=4,"Adapted from the award-winning young-adult book by Graham Salisbury. December 7, 1941 - Tomi Nakaji and his best friend Billy Davis are playing baseball in a field near their homes in Hawaii when Japan launches a surprise attack on the US at Pearl Harbor. As Tomi looks up at the sky and recognizes the Blood-Red Sun emblem on the fighter planes, he knows that his life has changed forever. Torn between his love of all things American and the traditional ways of his parents and Grampa, Tomi feels frightened and ashamed of his native land. Tomi’s friendship with Billy is soon tested as prejudice divides their island community. He must find the courage to stand up to neighborhood bully, Keet Wilson, while protecting his family’s honor and its katana, a centuries-old samurai sword. He is then forced to become the man of the family to care for his mother and sister Kimi after his father is arrested and taken away to an internment camp. Based on actual events, Under the Blood-Red Sun is an unforgettable story of friendship, courage & survival."
Easter Under Wraps,2020,https://itunes.apple.com/us/movie/easter-under-wraps/id1494423914?uo=4,"A Hallmark Channel original movie. Erin Cavendish (Fiona Gubelmann), marketing director at Cavendish Chocolates, goes undercover to see why sales have declined and learns from handsome head chocolatier Bryan (Brendan Penny) that automation has replaced quality. While undercover, Erin is inspired by Bryan’s Easter egg sketches to bring back the legendary Cavendish Egg."
One Under the Sun,2017,https://itunes.apple.com/us/movie/one-under-the-sun/id1183543488?uo=4,"An international mission to Mars launches amid global tensions. For mission commander Kathryn Voss, the decision to leave her terminally ill daughter is heart-wrenching, but the child insists that Kathryn fulfill her commitment. Three years later, Kathryn is the only survivor of a catastrophic accident on re-entry, a crash that officials claim killed everyone onboard, news that devastates Kathryn’s daughter, who has been clinging to life. Instead of being reunited with her family, Kathryn is confined to a secret government facility—interrogated by agents who consider her too dangerous to be allowed to leave. Desperate to see her daughter one lasts time, Kathryn escapes and begins a literal and spiritual journey toward understanding the extraordinary power she has now has. Aided by memories of her fellow astronauts, she finally understands her ability to connect the whole human race and give them a vision of a world without war."
Under an Arctic Sky,2017,https://itunes.apple.com/us/movie/under-an-arctic-sky/id1550815793?uo=4,"The film follows six surfers along with adventure photographer Chris Burkard and filmmaker Ben Weiland as they seek out unknown swell in the remote fjords of Iceland's Hornstrandir Nature Reserve. Chartering a boat, they depart from Isafjordur on the cusp of the largest storm to make landfall in twenty-five years. With the knowledge that storms bring legendary swell the crew are optimistic, but face failure when the storm forces them back to shore. Making the decision to carry the expedition on by road they experience the brutality of Iceland's winter and question whether the search is worth risking their lives. Despite setbacks the team pushes on and finds that uncertainty is the best ingredient for discovering the unimaginable."
